label	i	c	o	span
gold	Tenofovir/emtricitabine (TDF/FTC)	Abacavir/lamivudine (ABC/3TC) 	Hip bone mass density at weeks 24 and 48	We observed significant reductions from baseline in both hip and lumbar spine BMD at week 24 and 48 among TDF/FTC-treated patients, whereas BMD was stable in patients in the ABC/3TC arm.
c	TDF / FTC	TDF / FTC or ABC / 3TC - based treatment	hip and lumbar spine BMD	We observed significant reductions from baseline in both hip and lumbar spine BMD at week 24 and 48 among TDF/FTC-treated patients, whereas BMD was stable in patients in the ABC/3TC arm.
gold	Tenofovir/emtricitabine (TDF/FTC)	Abacavir/lamivudine (ABC/3TC) 	Hip bone mass density at weeks 24 and 48	We observed significant reductions from baseline in both hip and lumbar spine BMD at week 24 and 48 among TDF/FTC-treated patients, whereas BMD was stable in patients in the ABC/3TC arm.
c	TDF / FTC	TDF / FTC or ABC / 3TC - based treatment	BMD	We observed significant reductions from baseline in both hip and lumbar spine BMD at week 24 and 48 among TDF/FTC-treated patients, whereas BMD was stable in patients in the ABC/3TC arm.
gold	Prolonged-release melatonin	Placebo	Adverse events 	Drug-related AEs were reported by eight patients (20.5%) in the PRM and by two (5.9%) in the placebo cohort, with no statistical difference between the two groups (post hoc analysis) (chi-squared Fisher's exact test, P=0.0933).
c	placebo	PRM therapy	Drug - related AEs	Drug-related AEs were reported by eight patients (20.5%) in the PRM and by two (5.9%) in the placebo cohort, with no statistical difference between the two groups (post hoc analysis) (chi-squared Fisher's exact test, P=0.0933).
gold	memory game with fruit	no fruit game	overall fruit intake	The main finding is that playing a memory-game containing fruit increases overall fruit intake (P = 0.016).
c	memory - game containing fruit	memory - game with fruit	overall fruit intake	The main finding is that playing a memory-game containing fruit increases overall fruit intake (P = 0.016).
gold	memory game with fruit	no fruit game	higher grape intake	Children who played the fruit version of the memory-game ate more bananas (P = 0.015) and mandarins (P = 0.036) than children who played the non-food memory-game; no effects were found for apples (P > 0.05) and grapes (P > 0.05)
c	non - food memory - game	non - food memory - game	bananas	Children who played the fruit version of the memory-game ate more bananas (P = 0.015) and mandarins (P = 0.036) than children who played the non-food memory-game; no effects were found for apples (P > 0.05) and grapes (P > 0.05).
gold	memory game with fruit	no fruit game	higher grape intake	Children who played the fruit version of the memory-game ate more bananas (P = 0.015) and mandarins (P = 0.036) than children who played the non-food memory-game; no effects were found for apples (P > 0.05) and grapes (P > 0.05)
c	non - food memory - game	food - cue exposure ( energy - densed snacks or fruit )	mandarins	Children who played the fruit version of the memory-game ate more bananas (P = 0.015) and mandarins (P = 0.036) than children who played the non-food memory-game; no effects were found for apples (P > 0.05) and grapes (P > 0.05).
gold	Palonosetron	Ondansetron	Incidence of vomiting 	However, the incidence of vomiting was lower in the palonosetron group than in the ondansetron group (18% vs. 4%, P = 0.025).
x	palonosetron	ondansetron	incidence of vomiting	However, the incidence of vomiting was lower in the palonosetron group than in the ondansetron group (18% vs. 4%, P = 0.025).
gold	(B) the Mechanical insufflation-exsufflation (MI-E) extubation protocol (study group)	(A) a conventional extubation protocol (control group)	the reintubation rates related to noninvasive ventilation (NIV) failure	the reintubation rates related to NIV failure were significantly lower in the study group when compared with controls
c	NIV	NIV	reintubation rates	Considering only the subgroup of patients that used NIV, the reintubation rates related to NIV failure were significantly lower in the study group when compared with controls; two patients (6%) versus 13 (33%); P < 0.05, respectively.
gold	(B) the Mechanical insufflation-exsufflation (MI-E) extubation protocol (study group)	(A) a conventional extubation protocol (control group)	the reintubation rates related to noninvasive ventilation (NIV) failure	the reintubation rates related to NIV failure were significantly lower in the study group when compared with controls
c	NIV	conventional extubation protocol ( control	NIV failure	Considering only the subgroup of patients that used NIV, the reintubation rates related to NIV failure were significantly lower in the study group when compared with controls; two patients (6%) versus 13 (33%); P < 0.05, respectively.
gold	delayed-release DMF 240 mg TID	placebo	mean number of new or enlarging T2-hyperintense lesions - patients newly diagnosed with relapsing–remitting multiple sclerosis (RRMS)	In a subset of patients (MRI cohort), delayed-release DMF BID and TID reduced the mean number of new or enlarging T2-hyperintense lesions by 80% and 81%, gadolinium-enhancing lesion activity by 92% and 92%, and mean number of new non-enhancing T1-hypointense lesions by 68% and 70% (all p < 0.0001 versus placebo).
x	placebo	DMF BID	mean number of new non - enhancing T1 - hypointense lesions	In a subset of patients (MRI cohort), delayed-release DMF BID and TID reduced the mean number of new or enlarging T2-hyperintense lesions by 80% and 81%, gadolinium-enhancing lesion activity by 92% and 92%, and mean number of new non-enhancing T1-hypointense lesions by 68% and 70% (all p < 0.0001 versus placebo).
gold	delayed-release DMF 240 mg TID	placebo	mean number of new or enlarging T2-hyperintense lesions - patients newly diagnosed with relapsing–remitting multiple sclerosis (RRMS)	In a subset of patients (MRI cohort), delayed-release DMF BID and TID reduced the mean number of new or enlarging T2-hyperintense lesions by 80% and 81%, gadolinium-enhancing lesion activity by 92% and 92%, and mean number of new non-enhancing T1-hypointense lesions by 68% and 70% (all p < 0.0001 versus placebo).
x	placebo	DMF BID	gadolinium - enhancing lesion activity	In a subset of patients (MRI cohort), delayed-release DMF BID and TID reduced the mean number of new or enlarging T2-hyperintense lesions by 80% and 81%, gadolinium-enhancing lesion activity by 92% and 92%, and mean number of new non-enhancing T1-hypointense lesions by 68% and 70% (all p < 0.0001 versus placebo).
gold	delayed-release DMF 240 mg TID	placebo	mean number of new or enlarging T2-hyperintense lesions - patients newly diagnosed with relapsing–remitting multiple sclerosis (RRMS)	In a subset of patients (MRI cohort), delayed-release DMF BID and TID reduced the mean number of new or enlarging T2-hyperintense lesions by 80% and 81%, gadolinium-enhancing lesion activity by 92% and 92%, and mean number of new non-enhancing T1-hypointense lesions by 68% and 70% (all p < 0.0001 versus placebo).
x	placebo	DMF BID	mean number of new or enlarging T2 - hyperintense lesions	In a subset of patients (MRI cohort), delayed-release DMF BID and TID reduced the mean number of new or enlarging T2-hyperintense lesions by 80% and 81%, gadolinium-enhancing lesion activity by 92% and 92%, and mean number of new non-enhancing T1-hypointense lesions by 68% and 70% (all p < 0.0001 versus placebo).
gold	delayed-release DMF 240 mg BID	placebo	annualized relapse rate - patients newly diagnosed with relapsing–remitting multiple sclerosis (RRMS)	At 2 years, delayed-release DMF BID and TID reduced the annualized relapse rate by 56% and 60% (both p < 0.0001)
c	placebo	delayed - release dimethyl fumarate	annualized relapse rate	At 2 years, delayed-release DMF BID and TID reduced the annualized relapse rate by 56% and 60% (both p < 0.0001), risk of relapse by 54% and 57% (both p < 0.0001), and risk of 12-week confirmed disability progression by 71% (p < 0.0001) and 47% (p = 0.0085) versus placebo.
gold	delayed-release DMF 240 mg BID	placebo	annualized relapse rate - patients newly diagnosed with relapsing–remitting multiple sclerosis (RRMS)	At 2 years, delayed-release DMF BID and TID reduced the annualized relapse rate by 56% and 60% (both p < 0.0001)
c	placebo	delayed - release dimethyl fumarate	risk of 12 - week confirmed disability progression	At 2 years, delayed-release DMF BID and TID reduced the annualized relapse rate by 56% and 60% (both p < 0.0001), risk of relapse by 54% and 57% (both p < 0.0001), and risk of 12-week confirmed disability progression by 71% (p < 0.0001) and 47% (p = 0.0085) versus placebo.
gold	delayed-release DMF 240 mg BID	placebo	annualized relapse rate - patients newly diagnosed with relapsing–remitting multiple sclerosis (RRMS)	At 2 years, delayed-release DMF BID and TID reduced the annualized relapse rate by 56% and 60% (both p < 0.0001)
c	placebo	delayed - release dimethyl fumarate	risk of relapse	At 2 years, delayed-release DMF BID and TID reduced the annualized relapse rate by 56% and 60% (both p < 0.0001), risk of relapse by 54% and 57% (both p < 0.0001), and risk of 12-week confirmed disability progression by 71% (p < 0.0001) and 47% (p = 0.0085) versus placebo.
gold	STAAR® implantable contact lens (ICL)	baseline	uncorrected visual acuity (UCVA)	There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
x	implantable contact lens and Artiflex	Artiflex	postoperative best corrected visual acuity	Table 1 The preoperative uncorrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 2 The preoperative best corrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 3 The postoperative uncorrected visual acuity of implantable contact lens and Artiflex group   Table 4 The postoperative best corrected visual acuity of implantable contact lens and Artiflex group   There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
gold	STAAR® implantable contact lens (ICL)	baseline	uncorrected visual acuity (UCVA)	There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
x	implantable contact lens and Artiflex	Artiflex	postoperative uncorrected visual acuity	Table 1 The preoperative uncorrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 2 The preoperative best corrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 3 The postoperative uncorrected visual acuity of implantable contact lens and Artiflex group   Table 4 The postoperative best corrected visual acuity of implantable contact lens and Artiflex group   There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
gold	STAAR® implantable contact lens (ICL)	baseline	uncorrected visual acuity (UCVA)	There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
x	implantable contact lens and Artiflex	Artiflex	postoperative UCVA	Table 1 The preoperative uncorrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 2 The preoperative best corrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 3 The postoperative uncorrected visual acuity of implantable contact lens and Artiflex group   Table 4 The postoperative best corrected visual acuity of implantable contact lens and Artiflex group   There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
gold	STAAR® implantable contact lens (ICL)	baseline	uncorrected visual acuity (UCVA)	There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
x	implantable contact lens and Artiflex	Artiflex	preoperative uncorrected visual acuity ( Log MAR )	Table 1 The preoperative uncorrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 2 The preoperative best corrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 3 The postoperative uncorrected visual acuity of implantable contact lens and Artiflex group   Table 4 The postoperative best corrected visual acuity of implantable contact lens and Artiflex group   There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
gold	STAAR® implantable contact lens (ICL)	baseline	uncorrected visual acuity (UCVA)	There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
x	implantable contact lens and Artiflex	Artiflex	preoperative best corrected visual acuity ( Log MAR )	Table 1 The preoperative uncorrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 2 The preoperative best corrected visual acuity (Log MAR) of implantable contact lens and Artiflex group   Table 3 The postoperative uncorrected visual acuity of implantable contact lens and Artiflex group   Table 4 The postoperative best corrected visual acuity of implantable contact lens and Artiflex group   There was a statistically significant difference between preoperative and postoperative UCVA in the ICL group (P = 0.000).
gold	Artiflex	baseline	uncorrected visual acuity (UCVA)	There was a statistically significant difference between preoperative and postoperative UCVA in Artiflex group (P = 0.000).
c	Artiflex	Artiflex	postoperative UCVA	There was a statistically significant difference between preoperative and postoperative UCVA in Artiflex group (P = 0.000).
gold	STAAR® implantable contact lens (ICL)	Artiflex	UCVA or BCVA	There was no statistically significant difference between postoperative UCVA or BCVA between Artiflex and ICL groups (P = 0.786).
c	Artiflex	ICL .	postoperative UCVA or BCVA	There was no statistically significant difference between postoperative UCVA or BCVA between Artiflex and ICL groups (P = 0.786).
gold	lomustine	baseline	circulating endothelial cells (CECs) after 4 and 6 weeks	In contrast, in patients receiving bevacizumab single agent and in patients receiving lomustine single agent, CECs at baseline were similar to CECs after 4 weeks and 6 weeks of treatment.
x	lomustine	bevacizumab	CECs	In contrast, in patients receiving bevacizumab single agent and in patients receiving lomustine single agent, CECs at baseline were similar to CECs after 4 weeks and 6 weeks of treatment.
gold	bevacizumab plus lomustine	baseline	circulating endothelial cells (CECs) after 4 and 6 weeks	In patients receiving bevacizumab plus lomustine combination therapy, patients had higher CECs after 4 weeks (P<0.001) and 6 weeks (P<0.001) of treatment compared with the baseline value.
c	bevacizumab plus lomustine combination	Bevacizumab	CECs	In patients receiving bevacizumab plus lomustine combination therapy, patients had higher CECs after 4 weeks (P<0.001) and 6 weeks (P<0.001) of treatment compared with the baseline value.
gold	combined NPWT with open bone graft	only open bone graft	the number of microvessels	The results showed that the number of microvessels in NPWT group was higher than that in gauze group during the whole process.
x	gauze	NPWT	number of microvessels	The results showed that the number of microvessels in NPWT group was higher than that in gauze group during the whole process.
gold	Naproxen sodium + diphenhydramine (440 mg/50 mg)	Naproxen sodium	Wake time after sleep onset improvement 	In the first study, only the NS 440 mg/DPH 50 mg combination showed significant improvements in both WASO vs. NS alone (−70.3 min p = 0.0002) and SL vs. DPH alone (25.50 and 41.50 min respectively, p < 0.0001).
o	NS	DPH	WASO and SL	In the first study, only the NS 440 mg/DPH 50 mg combination showed significant improvements in both WASO vs. NS alone (−70.3 min p = 0.0002) and SL vs. DPH alone (25.50 and 41.50 min respectively, p < 0.0001).
gold	Naproxen sodium + diphenhydramine (440mg/25mg)	Naproxen sodium	Wake time after sleep onset improvement 	the NS 440 mg/DPH 25 mg combination failed to show any significant improvements vs. either component alone.
o	NS	DPH	Global Assessment of Investigational Product as a Pain Reliever Scale	In the second study, the NS 440 mg/DPH 25 mg combination failed to show any significant improvements vs. either component alone.
gold	Ethylene di-amine tetra-acetic acid + Ethanol	Ethanol	Bond strength	The surface treatment methods did not have any significant effect (P > 0.05) on any group but EDTA group had the highest bond strength.
c	EDTA	modified wet - ethanol bonding method	bond strength .	The surface treatment methods did not have any significant effect (P > 0.05) on any group but EDTA group had the highest bond strength.
gold	Exogenous glucagon-like peptide-1 infusion	Control	Absolute insulin concentrations	The insulin/glucose ratio at 270 minutes was increased with GLP-1 infusion (GLP-1 (9.1 ± 2.7) vs. placebo (5.8 ± 1.8); P = 0.02) but there was no difference in absolute insulin concentrations.
x	placebo	GLP - 1	insulin / glucose ratio	The insulin/glucose ratio at 270 minutes was increased with GLP-1 infusion (GLP-1 (9.1 ± 2.7) vs. placebo (5.8 ± 1.8); P = 0.02) but there was no difference in absolute insulin concentrations.
gold	Exogenous glucagon-like peptide-1 infusion	Control	Absolute insulin concentrations	The insulin/glucose ratio at 270 minutes was increased with GLP-1 infusion (GLP-1 (9.1 ± 2.7) vs. placebo (5.8 ± 1.8); P = 0.02) but there was no difference in absolute insulin concentrations.
x	placebo	GLP - 1	absolute insulin concentrations .	The insulin/glucose ratio at 270 minutes was increased with GLP-1 infusion (GLP-1 (9.1 ± 2.7) vs. placebo (5.8 ± 1.8); P = 0.02) but there was no difference in absolute insulin concentrations.
gold	Exogenous glucagon-like peptide-1 infusion	Control	Glucagon concentrations during infusion	There was a transient, non-sustained, reduction in plasma glucagon concentrations during GLP-1 infusion (t = 30 minutes GLP-1 (90 ± 12 pmol/ml) vs. placebo (104 ± 10 pmol/ml); P < 0.01).
x	placebo	GLP - 1	plasma glucagon concentrations	There was a transient, non-sustained, reduction in plasma glucagon concentrations during GLP-1 infusion (t = 30 minutes GLP-1 (90 ± 12 pmol/ml) vs. placebo (104 ± 10 pmol/ml); P < 0.01).
gold	Vitamin K + supplementation	Supplementation alone	Mineral density	L3 bone mineral density has increased statistically significantly in the vitamin K group compared to the control group (0.01 ± 0.03 g/cm2 vs -0.008 ± 0.04 g/cm2, P = 0.049).
c	vitamin K	Vitamin K	L3 bone mineral density	In a per protocol analysis after 6 months, L3 bone mineral density has increased statistically significantly in the vitamin K group compared to the control group (0.01 ± 0.03 g/cm2 vs -0.008 ± 0.04 g/cm2, P = 0.049).
gold	Vitamin K + supplementation	Supplementation alone	Undercarboxylated osteocalcin	UcOC concentration was also significantly decreased in the vitamin K group (-1.6 ± 1.6 ng/dL vs -0.4 ± 1.1 ng/dL, P = 0.008).
c	vitamin K	vitamin K , anti - lipid medications , hormone replacement therapy	UcOC concentration	UcOC concentration was also significantly decreased in the vitamin K group (-1.6 ± 1.6 ng/dL vs -0.4 ± 1.1 ng/dL, P = 0.008).
gold	Vitamin K + supplementation	Supplementation alone	Mineral density	After 6 months of treatment, the L3 BMD in the vitamin K group compared to the control group increased statistically significantly (0.01 ± 0.03 g/cm2 vs -0.008 ± 0.04 g/cm2, P = 0.049)
c	vitamin K	Vitamin K	L3 BMD	After 6 months of treatment, the L3 BMD in the vitamin K group compared to the control group increased statistically significantly (0.01 ± 0.03 g/cm2 vs -0.008 ± 0.04 g/cm2, P = 0.049).
gold	Vitamin K + supplementation	Supplementation alone	Osteocalcin 	Osteocalcin level was higher in the vitamin K group than in the control group, but the difference was not significant (P = 0.14).
c	vitamin K	Vitamin K	Osteocalcin level	Osteocalcin level was higher in the vitamin K group than in the control group, but the difference was not significant (P = 0.14).
gold	mental clinical nursing pathway care	usual nursing care	Karnofsky Performance Status (KPS) of patients - (individuals diagnosed with a malignant tumor)	The KPS of patients receiving mental clinical nursing pathway care was higher than those receiving usual nursing care, and there was a statistical significant difference between the two groups (P<0.01)
x	mental clinical nursing pathway care	usual nursing care	KPS	The KPS of patients receiving mental clinical nursing pathway care was higher than those receiving usual nursing care, and there was a statistical significant difference between the two groups (P<0.01).
gold	Probiotics 	Placebo	Montgomery–Åsberg Depression Rating Scale 	At end-point, 9 (23%) of those in the probiotic group showed a ⩾60% change on the Montgomery–Åsberg Depression Rating Scale (responders), compared to 10 (26%) of those in the placebo group (χ12=0.107, p = ns).
c	placebo	probiotic formula	Montgomery – A ̊ sberg Depression Rating Scale	At end-point, 9 (23%) of those in the probiotic group showed a ⩾60% change on the Montgomery–Åsberg Depression Rating Scale (responders), compared to 10 (26%) of those in the placebo group (χ12=0.107, p = ns).
gold	glargine 300 U/ml (Gla-300)	glargine 100 U/ml (Gla-100)	annualized rate (events per participant-year) of confirmed [≤3.9 mmol/l (≤70 mg/dl)] or severe hypoglycaemia at any time of day (24 h) over the 6-month	Annualized rates of confirmed (≤3.9 mmol/l) or severe hypoglycaemia were lower with Gla-300 than with Gla-100 during the night (31% difference in rate ratio over 6 months) and at any time (24 h, 14% difference).
x	Gla - 300	Gla - 100	) or severe hypoglycaemia	Annualized rates of confirmed (≤3.9 mmol/l) or severe hypoglycaemia were lower with Gla-300 than with Gla-100 during the night (31% difference in rate ratio over 6 months) and at any time (24 h, 14% difference).
gold	glargine 300 U/ml (Gla-300)	glargine 100 U/ml (Gla-100)	annualized rate (events per participant-year) of confirmed [≤3.9 mmol/l (≤70 mg/dl)] or severe hypoglycaemia at any time of day (24 h) over the 6-month	Annualized rates of confirmed (≤3.9 mmol/l) or severe hypoglycaemia were lower with Gla-300 than with Gla-100 during the night (31% difference in rate ratio over 6 months) and at any time (24 h, 14% difference).
x	Gla - 300	Gla - 100	Annualized rates of confirmed	Annualized rates of confirmed (≤3.9 mmol/l) or severe hypoglycaemia were lower with Gla-300 than with Gla-100 during the night (31% difference in rate ratio over 6 months) and at any time (24 h, 14% difference).
gold	Outpatient Foley catheter	Inpatient vaginal PGE2	Pain 	OPC group felt less pain (significant discomfort 26% Vs 58%, p = .003), and had more sleep (5.8 Vs 3.4 hours, p < .001), during cervical preparation, but were more likely to require oxytocin IOL (88 Vs 59%, p = .001).
c	OPC	OPC	sleep	OPC group felt less pain (significant discomfort 26% Vs 58%, p = .003), and had more sleep (5.8 Vs 3.4 hours, p < .001), during cervical preparation, but were more likely to require oxytocin IOL (88 Vs 59%, p = .001).
gold	Outpatient Foley catheter	Inpatient vaginal PGE2	Pain 	OPC group felt less pain (significant discomfort 26% Vs 58%, p = .003), and had more sleep (5.8 Vs 3.4 hours, p < .001), during cervical preparation, but were more likely to require oxytocin IOL (88 Vs 59%, p = .001).
c	OPC	OPC	pain	OPC group felt less pain (significant discomfort 26% Vs 58%, p = .003), and had more sleep (5.8 Vs 3.4 hours, p < .001), during cervical preparation, but were more likely to require oxytocin IOL (88 Vs 59%, p = .001).
gold	Outpatient Foley catheter	Inpatient vaginal PGE2	Pain 	OPC group felt less pain (significant discomfort 26% Vs 58%, p = .003), and had more sleep (5.8 Vs 3.4 hours, p < .001), during cervical preparation, but were more likely to require oxytocin IOL (88 Vs 59%, p = .001).
c	OPC	OPC	oxytocin IOL	OPC group felt less pain (significant discomfort 26% Vs 58%, p = .003), and had more sleep (5.8 Vs 3.4 hours, p < .001), during cervical preparation, but were more likely to require oxytocin IOL (88 Vs 59%, p = .001).
gold	Outpatient Foley catheter	Inpatient vaginal PGE2	Hospital stay 	The OPC group spent significantly less time in hospital prior to birth, approximately 11 hours, however had a longer Birthing Unit stay, and their overall reduced inpatient stay (96 vs. 105 hours) was not statistically significant.
c	OPC	OPC	reduced inpatient stay	The OPC group spent significantly less time in hospital prior to birth, approximately 11 hours, however had a longer Birthing Unit stay, and their overall reduced inpatient stay (96 vs. 105 hours) was not statistically significant.
gold	Outpatient Foley catheter	Inpatient vaginal PGE2	Hospital stay 	The OPC group spent significantly less time in hospital prior to birth, approximately 11 hours, however had a longer Birthing Unit stay, and their overall reduced inpatient stay (96 vs. 105 hours) was not statistically significant.
c	OPC	OPC	time in hospital prior to birth	The OPC group spent significantly less time in hospital prior to birth, approximately 11 hours, however had a longer Birthing Unit stay, and their overall reduced inpatient stay (96 vs. 105 hours) was not statistically significant.
gold	Outpatient Foley catheter	Inpatient vaginal PGE2	Hospital stay 	The OPC group spent significantly less time in hospital prior to birth, approximately 11 hours, however had a longer Birthing Unit stay, and their overall reduced inpatient stay (96 vs. 105 hours) was not statistically significant.
c	OPC	OPC	Birthing Unit stay	The OPC group spent significantly less time in hospital prior to birth, approximately 11 hours, however had a longer Birthing Unit stay, and their overall reduced inpatient stay (96 vs. 105 hours) was not statistically significant.
gold	Repetitive transcranial magnetic stimulation	Sham stimulation	Proprioceptive drift effect during asynchronous stroking	Based on our assumption that rTMS stimulation would produce an effect compared to sham stimulation during synchronous stroking but not asynchronous stroking, we compared proprioceptive drift in the post-stimulation session using post hoc paired t-tests, which revealed a significantly (p < 0.025) stronger effect of rTMS versus sham stimulation on proprioceptive drift during synchronous stroking [t(15) = 2.578, p = 0.021], but not during asynchronous stroking [t(15) = 0.161, p = 0.876].
x	rTMS	sham stimulation	proprioceptive drift	Based on our assumption that rTMS stimulation would produce an effect compared to sham stimulation during synchronous stroking but not asynchronous stroking, we compared proprioceptive drift in the post-stimulation session using post hoc paired t-tests, which revealed a significantly (p < 0.025) stronger effect of rTMS versus sham stimulation on proprioceptive drift during synchronous stroking [t(15) = 2.578, p = 0.021], but not during asynchronous stroking [t(15) = 0.161, p = 0.876].
gold	Repetitive transcranial magnetic stimulation	Sham stimulation	Proprioceptive drift effect during asynchronous stroking	Based on our assumption that rTMS stimulation would produce an effect compared to sham stimulation during synchronous stroking but not asynchronous stroking, we compared proprioceptive drift in the post-stimulation session using post hoc paired t-tests, which revealed a significantly (p < 0.025) stronger effect of rTMS versus sham stimulation on proprioceptive drift during synchronous stroking [t(15) = 2.578, p = 0.021], but not during asynchronous stroking [t(15) = 0.161, p = 0.876].
x	rTMS	rTMS stimulation	proprioceptive drift	Based on our assumption that rTMS stimulation would produce an effect compared to sham stimulation during synchronous stroking but not asynchronous stroking, we compared proprioceptive drift in the post-stimulation session using post hoc paired t-tests, which revealed a significantly (p < 0.025) stronger effect of rTMS versus sham stimulation on proprioceptive drift during synchronous stroking [t(15) = 2.578, p = 0.021], but not during asynchronous stroking [t(15) = 0.161, p = 0.876].
gold	Repetitive transcranial magnetic stimulation	Sham stimulation	Proprioceptive drift effect during asynchronous stroking	Based on our assumption that rTMS stimulation would produce an effect compared to sham stimulation during synchronous stroking but not asynchronous stroking, we compared proprioceptive drift in the post-stimulation session using post hoc paired t-tests, which revealed a significantly (p < 0.025) stronger effect of rTMS versus sham stimulation on proprioceptive drift during synchronous stroking [t(15) = 2.578, p = 0.021], but not during asynchronous stroking [t(15) = 0.161, p = 0.876].
x	sham stimulation	rTMS stimulation	proprioceptive drift	Based on our assumption that rTMS stimulation would produce an effect compared to sham stimulation during synchronous stroking but not asynchronous stroking, we compared proprioceptive drift in the post-stimulation session using post hoc paired t-tests, which revealed a significantly (p < 0.025) stronger effect of rTMS versus sham stimulation on proprioceptive drift during synchronous stroking [t(15) = 2.578, p = 0.021], but not during asynchronous stroking [t(15) = 0.161, p = 0.876].
gold	flavonoid-rich blueberry drink	matched placebo	positive affect (PA)	there was a significant increase in PA after consuming the WBB drink (pre: M = 22.76, SD = 9.01 and post: M = 29.48, SD = 8.60; t(20) = −4.68, p < 0.001)
c	WBB	WBB drink for vitamin C	PA	Subsequent Bonferroni-corrected post-hoc t-tests demonstrated that there was a significant increase in PA after consuming the WBB drink (pre: M = 22.76, SD = 9.01 and post: M = 29.48, SD = 8.60; t(20) = −4.68, p < 0.001).
gold	flavonoid-rich blueberry drink	matched placebo	reduction in negative affect (NA) 2 h after consuming	NA did not change 2 h after consuming either the placebo (pre: M = 19.25, SD = 8.73 and post: M = 19.79, SD = 9.78) or the WBB drink (pre: M = 20.79, SD = 8.09 and post: M = 20.07, SD = 9.06)
c	placebo	placebo or WBB	NA	NA did not change 2 h after consuming either the placebo (pre: M = 19.25, SD = 8.73 and post: M = 19.79, SD = 9.78) or the WBB drink (pre: M = 20.79, SD = 8.09 and post: M = 20.07, SD = 9.06).
gold	Amifostine 	Control	Glomerular filtration rate fall	The median fall of the glomerular filtration rate (GFR) was 10% from baseline in the amifostine group (105 to 95 ml min−1) and 37% in the control patient group (107 to 67 ml min−1) (P< 0.01).
c	amifostine	amifostine	median fall of the glomerular filtration rate ( GFR )	The median fall of the glomerular filtration rate (GFR) was 10% from baseline in the amifostine group (105 to 95 ml min−1) and 37% in the control patient group (107 to 67 ml min−1) (P< 0.01).
gold	Amifostine 	Control	Grade III/IV stomatitis 	Stomatitis grade III/IV occurred in 25% without versus 0% of patients with amifostine (P = 0.01)
c	amifostine	amifostine	Stomatitis grade III / IV	Stomatitis grade III/IV occurred in 25% without versus 0% of patients with amifostine (P = 0.01).
gold	Amifostine 	Control	Days with fever	In addition, a lower number of days with fever and a shortened duration of hospital stay were observed in the amifostine arm.
c	amifostine	amifostine	shortened duration of hospital stay	In addition, a lower number of days with fever and a shortened duration of hospital stay were observed in the amifostine arm.
gold	Amifostine 	Control	Days with fever	In addition, a lower number of days with fever and a shortened duration of hospital stay were observed in the amifostine arm.
c	amifostine	amifostine	number of days with fever	In addition, a lower number of days with fever and a shortened duration of hospital stay were observed in the amifostine arm.
gold	Biperiden	Placebo	N1 amplitude 	Biperiden increased N1 amplitude compared to placebo (* p<0.05).
x	Biperiden	placebo	N1 amplitude	Biperiden increased N1 amplitude compared to placebo (* p<0.05).
gold	Biperiden	Placebo	Learned irrelevance index	Biperiden had no effect on the behavioural LIrr measures,
c	Biperiden	biperiden	reaction times	Biperiden had no effect on the behavioural LIrr measures, although prolonged reaction times were evident.
gold	Biperiden	Placebo	Learned irrelevance index	Biperiden had no effect on the behavioural LIrr measures,
c	Biperiden	biperiden	behavioural LIrr measures	Biperiden had no effect on the behavioural LIrr measures, although prolonged reaction times were evident.
gold	Propofol 	Thiopental	Septal mitral annular velocity during systole after 5 minutes	Among TDI two parameters demonstrated a significant inter-group difference: the S' in propofol was lower than that in Thiopental-group at T3 (p = 0.002),
x	Propofol	propofol	a ' velocities	Among TDI two parameters demonstrated a significant inter-group difference: the S' in propofol was lower than that in Thiopental-group at T3 (p = 0.002), and a' velocities were persistently lower in Propofol-group, compared with same time values in Thiopental-group (T1, T2, and T3: p = 0.025, 0.007, and 0.009, respectively).
gold	Propofol 	Thiopental	Septal mitral annular velocity during systole after 5 minutes	Among TDI two parameters demonstrated a significant inter-group difference: the S' in propofol was lower than that in Thiopental-group at T3 (p = 0.002),
